Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,91,Great Curassow,Crax rubra,Bird,2,,2020,6,21,7.50,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,19,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,15,9.16,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,142,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,24,10.48,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,205,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,27,17.27,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,223,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,28,10.58,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,271,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,1,18.00,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,76,Great Curassow,Crax rubra,Bird,2,,2020,9,26,8.27,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,148,Great Curassow,Crax rubra,Bird,2,,2020,9,27,17.05,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,292,Great Curassow,Crax rubra,Bird,2,,2020,10,12,13.17,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,340,Great Curassow,Crax rubra,Bird,2,,2020,10,16,16.06,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,193,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,10,1,6.52,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,43,Great Curassow,Crax rubra,Bird,2,,2020,11,1,12.18,,,,
