Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac512c,512,C,,,2164,Gray Fox,1,2015,4,13,21.12,21,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,2164,Gray Fox,1,2015,4,13,21.12,21,,ScoutGuard,512 C,281740,1935290,
Yalbac512c,512,C,,,2432,Gray Fox,1,2015,4,14,22.56,23,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,2432,Gray Fox,1,2015,4,14,22.56,23,,ScoutGuard,512 C,281740,1935290,
Yalbac501c,501,C,,,47,Gray Fox,1,2015,4,15,9.56,10,,Bushnell,501 C,292447,1954693,
Yalbac508C,508,C,,,6,Gray Fox,1,2015,4,15,4.34,4.5,,Scoutguard,508 C,280364,1934433,
Yalbac509c,509,C,,,6,Gray Fox,1,2015,4,15,4.34,4.5,,ScoutGuard,509 C,280114,1935198,
Yalbac512c,512,C,,,2823,Gray Fox,1,2015,4,16,0.36,0.5,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,2823,Gray Fox,1,2015,4,16,0.36,0.5,,ScoutGuard,512 C,281740,1935290,
Yalbac508C,508,C,,,14,Gray Fox,1,2015,4,17,20.28,20.5,,Scoutguard,508 C,280364,1934433,
Yalbac509c,509,C,,,14,Gray Fox,1,2015,4,17,20.28,20.5,,ScoutGuard,509 C,280114,1935198,
Yalbac512c,512,C,,,3268,Gray Fox,1,2015,4,17,0.41,0.5,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,3268,Gray Fox,1,2015,4,17,0.41,0.5,,ScoutGuard,512 C,281740,1935290,
Yalbac512c,512,C,,,3307,Gray Fox,1,2015,4,18,1.3,1.5,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,3307,Gray Fox,1,2015,4,18,1.3,1.5,,ScoutGuard,512 C,281740,1935290,
Yalbac509c,509,C,,,61,Gray Fox,1,2015,4,25,10.24,10.5,,Bushnell,509 C,280114,1935198,
Yalbac501c,501,C,,,266,Gray Fox,1,2015,5,10,1.58,2,,Bushnell,501 C,292447,1954693,
Yalbac501c,501,C,,,389,Gray Fox,1,2015,5,21,5.07,5,,Bushnell,501 C,292447,1954693,
