Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,812B,286540,1935398,812,b,370,Baird's Tapir,1,,4,8,20.46,,bushnell,812B,Laguna Seca,no,,
,807B,291485,1956145,807,b,533,Baird's Tapir,1,,3,28,19.54,,bushnell,807B,Yalbac,no,,
,810B,286075,1935996,810,b,790,Baird's Tapir,1,,4,14,6.19,,bushnell,810A,Laguna Seca,no,,
,812C,286537,1935396,812,c,16,Baird's Tapir,1,,4,25,2.23,,bushnell,812C,Laguna Seca,no,,
,810C,286074,1935990,810,c,43,Baird's Tapir,1,,4,21,5.11,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,58,Baird's Tapir,2,,4,22,3.37,mom+young,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,149,Baird's Tapir,1,,4,27,23.25,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,196,Baird's Tapir,1,,5,4,2.54,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,466,Baird's Tapir,1,,5,19,19.01,,bushnell,810C,Laguna Seca,no,,
,810D,285371,1935931,810,d,118,Baird's Tapir,1,,6,3,22.55,,bushnell,810D,Laguna Seca,no,,
,810D,285371,1935931,810,d,127,Baird's Tapir,1,,6,6,0.04,,bushnell,810D,Laguna Seca,no,,
,810D,285371,1935931,810,d,304,Baird's Tapir,1,,6,14,9.38,,bushnell,810D,Laguna Seca,no,,
,810D,285371,1935931,810,d,350,Baird's Tapir,1,,6,18,22.14,,bushnell,810D,Laguna Seca,no,,
,812E,287809,1935980,812,e,19,Baird's Tapir,1,,9,11,19.41,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,148,Baird's Tapir,1,,10,7,19.46,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,184,Baird's Tapir,1,,10,11,19.48,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,263,Baird's Tapir,1,,10,24,21.18,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,290,Baird's Tapir,1,,11,6,18.43,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,358,Baird's Tapir,1,,7,24,23.06,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,436,Baird's Tapir,1,,7,30,21.54,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,487,Baird's Tapir,1,,7,31,23.04,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,583,Baird's Tapir,1,,8,14,22.42,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,622,Baird's Tapir,1,,8,22,21.05,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,760,Baird's Tapir,1,,9,9,21.41,,bushnell,812E,Laguna Seca,no,,
,810F,285385,1935920,810,f,214,Baird's Tapir,1,,10,11,19.07,,bushnell,810F,Laguna Seca,no,,
,810F,285385,1935920,810,f,262,Baird's Tapir,1,,10,20,1.26,,bushnell,810F,Laguna Seca,no,,
,810F,285385,1935920,810,f,319,Baird's Tapir,1,,11,6,19.19,,bushnell,810F,Laguna Seca,no,,
,810F,285385,1935920,810,f,331,Baird's Tapir,1,,11,9,20.50,,bushnell,810F,Laguna Seca,no,,
,810G,285375,1935724,810,g,91,Baird's Tapir,1,,12,1,3.44,,bushnell,810G,Laguna Seca,no,,
,810G,285375,1935724,810,g,127,Baird's Tapir,1,,12,4,19.23,,bushnell,810G,Laguna Seca,no,,
,807A,292291,1954813,807,a,245,Chachalaca,2,,2,7,9.52,,bushnell,807A,Yalbac,no,,
,807A,292291,1954813,807,a,253,Chachalaca,2,,2,9,7.15,,bushnell,807A,Yalbac,no,,
,807A,292291,1954813,807,a,269,Chachalaca,2,,2,16,11.28,,bushnell,807A,Yalbac,no,,
