"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"803D","803D",148,"Agouti",1,2018,5,26,5.48,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-05-26,2018-05-22,2018-06-27,36,"2018-05-26 5.48"
"803D","803D",172,"Agouti",1,2018,5,26,8.3,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-05-26,2018-05-22,2018-06-27,36,"2018-05-26 8.30"
"810D","810D",196,"Agouti",2,2018,6,9,13.05,"","bushnell","Laguna Seca","no","Yes",285371,1935931,"Laguna Seca","no",2018-06-09,2018-05-22,2018-06-27,36,"2018-06-09 13.05"
"807D","807D",341,"Agouti",1,2018,6,17,12.1,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-06-17,2018-05-22,2018-06-25,34,"2018-06-17 12.10"
"803D","803D",661,"Agouti",1,2018,6,8,5.39,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-08,2018-05-22,2018-06-27,36,"2018-06-08 5.39"
"807D","807D",969,"Agouti",1,2018,6,9,8.13,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-06-09,2018-05-22,2018-06-25,34,"2018-06-09 8.13"
"812E","812E",88,"Agouti",2,2018,9,21,8.42,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-21,2018-06-27,2018-11-17,140,"2018-09-21 8.42"
"812E","812E",118,"Agouti",1,2018,9,28,7.33,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-28,2018-06-27,2018-11-17,140,"2018-09-28 7.33"
"812E","812E",121,"Agouti",1,2018,9,28,9.52,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-28,2018-06-27,2018-11-17,140,"2018-09-28 9.52"
"812E","812E",124,"Agouti",1,2018,9,29,7.18,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-29,2018-06-27,2018-11-17,140,"2018-09-29 7.18"
"812E","812E",217,"Agouti",1,2018,10,16,7.15,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-16,2018-06-27,2018-11-17,140,"2018-10-16 7.15"
"812E","812E",271,"Agouti",1,2018,7,19,8.43,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-07-19,2018-06-27,2018-11-17,140,"2018-07-19 8.43"
"812E","812E",340,"Agouti",2,2018,7,23,6.29,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-07-23,2018-06-27,2018-11-17,140,"2018-07-23 6.29"
"812E","812E",559,"Agouti",1,2018,8,6,7.4,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-08-06,2018-06-27,2018-11-17,140,"2018-08-06 7.40"
"812E","812E",565,"Agouti",1,2018,8,7,5.42,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-08-07,2018-06-27,2018-11-17,140,"2018-08-07 5.42"
"812E","812E",742,"Agouti",1,2018,9,3,13.47,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-03,2018-06-27,2018-11-17,140,"2018-09-03 13.47"
"801E","801E",5272,"Agouti",1,2018,8,17,5.27,"","Moultrie","Yalbac","no","Yes",292709,1955722,"Yalbac","no",2018-08-17,2018-06-27,2018-09-10,4,"2018-08-17 5.27"
"810F","810F",52,"Agouti",1,2018,9,15,16.55,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-15,2018-09-10,2018-11-17,68,"2018-09-15 16.55"
"810F","810F",64,"Agouti",1,2018,9,17,9.57,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-17,2018-09-10,2018-11-17,68,"2018-09-17 9.57"
"809G","809G",34,"Agouti",1,2018,11,21,17.01,"","bushnell","Laguna Seca","no","Yes",286007,1941916,"Laguna Seca","no",2018-11-21,2018-11-17,2018-12-28,34,"2018-11-21 17.01"
"809G","809G",40,"Agouti",1,2018,11,25,18.52,"","bushnell","Laguna Seca","no","Yes",286007,1941916,"Laguna Seca","no",2018-11-25,2018-11-17,2018-12-28,34,"2018-11-25 18.52"
"814G","814G",232,"Agouti",1,2018,12,14,7.24,"","bushnell","Laguna Seca","no","Yes",287795,1943100,"Laguna Seca","no",2018-12-14,2018-11-17,2018-12-28,34,"2018-12-14 7.24"
"814G","814G",696,"Agouti",1,2018,12,24,10,"","bushnell","Laguna Seca","no","Yes",287795,1943100,"Laguna Seca","no",2018-12-24,2018-11-17,2018-12-28,34,"2018-12-24 10.00"
