"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"512F","Yalbac512F",512,"F",10,"Agouti",1,2015,9,16,18,18,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-09-16,2015-11-10,55,2," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-16 18.00",2015-09-15
"512F","Yalbac512F",512,"F",14,"Agouti",1,2015,9,17,9.34,9.5,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-09-17,2015-11-10,55,3," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-17 9.34",2015-09-15
"504F","Yalbac504F",504,"F",24,"Agouti",1,2015,9,18,7.06,7,"","HCO ScoutGuard",289314,1956370,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-09-18,2015-10-11,25,4,"Only movies","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-18 7.06",2015-09-15
"512F","Yalbac512F",512,"F",48,"Agouti",1,2015,9,21,14.43,14.5,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-09-21,2015-11-10,55,7," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-21 14.43",2015-09-15
"504F","Yalbac504F",504,"F",335,"Agouti",1,2015,9,24,7.36,7.5,"","HCO ScoutGuard",289314,1956370,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-09-24,2015-10-11,25,10,"Only movies","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-24 7.36",2015-09-15
"512F","Yalbac512F",512,"F",120,"Agouti",1,2015,10,13,17.49,17.5,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-10-13,2015-11-10,55,29," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-10-13 17.49",2015-09-15
"505F","Yalbac505F",505,"F",68,"Agouti",1,2015,10,16,11.25,11.5,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-10-16,2015-11-10,55,32," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-10-16 11.25",2015-09-15
"505F","Yalbac505F",505,"F",70,"Agouti",1,2015,10,17,6.3,6.5,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-10-17,2015-11-10,55,33," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-10-17 6.30",2015-09-15
"505F","Yalbac505F",505,"F",76,"Agouti",1,2015,10,17,16.14,16,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-10-17,2015-11-10,55,33," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-10-17 16.14",2015-09-15
"512F","Yalbac512F",512,"F",121,"Agouti",1,2015,10,19,7.51,8,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-10-19,2015-11-10,55,35," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-10-19 7.51",2015-09-15
