"picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","Location.1","Mammal","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location.y","Last.Record","obsdate","visit","date_time_obs"
58,"Red Brocket Deer",1,2016,7,24,"5.52","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-24,20,"2016-07-24 5.52"
82,"Red Brocket Deer",1,2016,7,26,"16.41","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-26,22,"2016-07-26 16.41"
148,"Red Brocket Deer",1,2016,8,14,"22.33","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-14,41,"2016-08-14 22.33"
265,"Red Brocket Deer",1,2016,9,4,"9.32","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-09-04,62,"2016-09-04 9.32"
13,"White-tailed Deer",1,2016,7,7,"14.45","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-07,3,"2016-07-07 14.45"
34,"White-tailed Deer",1,2016,7,18,"5.33","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-18,14,"2016-07-18 5.33"
46,"White-tailed Deer",1,2016,7,22,"9.5","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-22,18,"2016-07-22 9.50"
79,"White-tailed Deer",1,2016,7,26,"9.29","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-26,22,"2016-07-26 9.29"
109,"White-tailed Deer",1,2016,7,28,"16.4","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-28,24,"2016-07-28 16.40"
133,"White-tailed Deer",1,2016,8,5,"13.09","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-05,32,"2016-08-05 13.09"
136,"White-tailed Deer",1,2016,8,5,"15.44","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-05,32,"2016-08-05 15.44"
151,"White-tailed Deer",1,2016,8,18,"5.49","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-18,45,"2016-08-18 5.49"
154,"White-tailed Deer",1,2016,8,18,"7.23","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-18,45,"2016-08-18 7.23"
157,"White-tailed Deer",1,2016,8,18,"18.17","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-18,45,"2016-08-18 18.17"
163,"White-tailed Deer",1,2016,8,19,"9.07","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-19,46,"2016-08-19 9.07"
196,"White-tailed Deer",1,2016,8,20,"1.18","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-20,47,"2016-08-20 1.18"
215,"White-tailed Deer",1,2016,8,20,"8.59","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-20,47,"2016-08-20 8.59"
247,"White-tailed Deer",1,2016,8,25,"11.13","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-25,52,"2016-08-25 11.13"
250,"White-tailed Deer",1,2016,8,31,"6.34","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-31,58,"2016-08-31 6.34"
253,"White-tailed Deer",1,2016,9,2,"23.07","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-09-02,60,"2016-09-02 23.07"
256,"White-tailed Deer",1,2016,9,3,"5.58","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-09-03,61,"2016-09-03 5.58"
3861,"Crested Guan",2,2016,2,24,"11.09","","Laguna Seca","No","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-24,47,"2016-02-24 11.09"
3879,"Crested Guan",1,2016,3,15,"6.54","","Laguna Seca","No","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-15,67,"2016-03-15 6.54"
3850,"Gray Fox",1,2016,2,8,"4.48","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-08,31,"2016-02-08 4.48"
3858,"Gray Fox",1,2016,2,10,"12.48","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-10,33,"2016-02-10 12.48"
