,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
78,507C,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.496294,-89.037508,Dry,81.3758,0,No Loss,0.920411069,0.00450064,25.1712,-1557.826417,5.93E-06,0.002463883,Yes
79,504D,Scoutguard,No,Yes,No,No,Along wide logging road,Mature forest,17.68406362,-88.96484319,Rainy,156.413,0,No Loss,0.922298278,0.011196729,20.2104,-1573.259947,0.000780615,0.002108523,No
80,503D,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.70348066,-88.95591809,Rainy,141.995,0,No Loss,0.929415305,0.006792248,19.0365,-1574.829376,0.001905917,0.001249829,No
81,501D,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.70112066,-88.95562208,Rainy,138.302,0,No Loss,0.929199269,0.007461747,19.9449,-1574.6142,0.000529196,0.002906059,No
82,502D,Moultrycam,No,Yes,No,No,Along wide logging road,Mature forest,17.67950262,-88.96388417,Rainy,171.084,0,No Loss,0.924907006,0.006936782,15.6084,-1572.837223,0.000330786,0.000270283,No
83,505D,Moultrycam,No,Yes,No,No,Along narrow logging trail,Mature forest,17.68888463,-88.97619333,Rainy,160.809,0,No Loss,0.917414645,0.00796874,20.5036,-1573.889618,0.001287972,0.001196763,No
84,507E,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49248525,-89.039108,Rainy,81.0533,0,No Loss,0.924230695,0.005077315,18.3941,-1557.515283,0.000979823,0.005587277,Yes
85,510E,Moultrycam,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.48994024,-89.0561392,Rainy,70.508,0,No Loss,0.922542914,0.004548774,22.5885,-1557.586552,0.003053642,0.01510554,Yes
86,504E,Scoutguard,No,Yes,No,No,Along wide logging road,Mature forest,17.68267062,-88.9744703,Rainy,157.99,0,No Loss,0.915095562,0.007469556,19.6224,-1573.306252,0.000834208,0.004814904,No
87,506E,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.68216862,-88.95632908,Rainy,168.141,0,No Loss,0.934609207,0.007172802,18.8405,-1572.940811,0.000262799,0.005480665,No
88,502E,Moultrycam,No,Yes,No,No,Along wide logging road,Mature forest,17.68114762,-88.97181027,Rainy,159.849,0,No Loss,0.92354233,0.00652161,24.1181,-1573.123711,0.000128244,0.007586069,No
89,512F,Scoutguard,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49640325,-89.0557592,Rainy,57.1459,0,No Loss,0.920251117,0.006490699,23.4276,-1558.155475,0.002683336,0.009797503,Yes
90,504F,Scoutguard,No,Yes,No,No,Along wide logging road,Mature forest,17.68615662,-88.98631645,Rainy,148.012,0,No Loss,0.927385646,0.007258368,18.9012,-1573.82593,0.000142862,0.006630639,No
91,505F,Moultrycam,No,Yes,No,No,Along narrow logging trail,Mature forest,17.68565262,-88.97692133,Rainy,165.724,0,No Loss,0.91701427,0.008390524,19.1883,-1573.614922,0.000717025,0.000969386,No
