site,Location,Cam.nr,series,picture,Species,Nr,Year,Month,Day,Hour,Comment,camera.brand,Location.1,Logging,Date.Placement,Date.Removed,obsdate,Days,Northing,Easting,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area,Last_Record_clean,First_Obs,Last.Record_clean,date_time_obs
702A,Yalbac 702A,702,A,91,Gray Fox,1,2017,3,1,11.08,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/1/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-01 11.08
702A,Yalbac 702A,702,A,97,Gray Fox,1,2017,3,2,16.11,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/2/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-02 16.11
702A,Yalbac 702A,702,A,100,Gray Fox,1,2017,3,3,5.01,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/3/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-03 5.01
702A,Yalbac 702A,702,A,109,Gray Fox,1,2017,3,3,20.47,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/3/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-03 20.47
702A,Yalbac 702A,702,A,118,Gray Fox,1,2017,3,5,9.54,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/5/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-05 9.54
702A,Yalbac 702A,702,A,124,Gray Fox,1,2017,3,6,10.43,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/6/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-06 10.43
702A,Yalbac 702A,702,A,148,Gray Fox,1,2017,3,7,15.51,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/7/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-07 15.51
702A,Yalbac 702A,702,A,172,Gray Fox,1,2017,3,8,19.12,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/8/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-08 19.12
702A,Yalbac 702A,702,A,175,Gray Fox,1,2017,3,8,22.22,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/8/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-08 22.22
702A,Yalbac 702A,702,A,187,Gray Fox,1,2017,3,9,11.29,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,3/9/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-03-09 11.29
